Date,Station_Area,Description,Desc_group,Desc_group_type,TOC,ORD,MOB,IA,MAV,CD,Incident_Counter
02-01-13,Donnybrook,S/S RTA,Special Service,Road Traffic Accident,19:55:47,19:56:48,19:57:34,20:03:11,20:32:13,20:36:36,1
02-01-13,Tallaght,Fire ALARM,Fire,Fire Alarm,20:30:15,20:31:23,20:31:57,,20:33:46,21:29:07,1
02-01-13,Tara St,S/S LCKOUT,Special Service,Lock Out,20:29:11,20:34:15,20:36:31,20:40:51,21:05:54,21:14:52,1
02-01-13,Kilbarrack,Fire SMALL,Fire,Small Fire,20:38:49,20:39:47,20:41:24,20:47:01,20:49:45,20:55:28,1
02-01-13,Swords,Fire SMALL,Fire,Small Fire,21:19:03,21:19:47,21:21:00,21:26:52,21:37:51,21:44:55,1
02-01-13,Rathfarnham,Fire DOMESTIC,Fire,Domestic Fire,21:26:27,21:27:47,21:29:01,,21:32:54,22:34:38,1
02-01-13,Dolphins Barn,Fire ALARM,Fire,Fire Alarm,21:27:47,21:29:05,21:29:44,21:32:40,21:34:51,22:26:27,1
02-01-13,Finglas,Fire CAR,Fire,Car Fire,21:30:26,21:31:26,21:33:11,21:38:33,21:49:49,21:49:51,1
02-01-13,Finglas,Fire CHIMNEY,Fire,Chimney,22:08:59,22:09:56,22:11:59,22:18:27,22:37:23,22:38:28,1
03-01-13,Swords,Fire CAR,Fire,Car Fire,0:31:53,0:32:36,0:34:06,,1:05:53,1:11:17,1
03-01-13,Tara St,Fire ALARM,Fire,Fire Alarm,1:02:49,1:04:12,1:07:03,1:10:27,1:18:56,1:23:12,1
03-01-13,Finglas,Fire DOM PER,Fire,Domestic Persons Reported,2:04:25,2:05:07,2:06:43,2:13:31,2:14:24,2:26:17,1
03-01-13,Rathfarnham,Fire INSTIT,Fire,Institutional,2:49:45,2:51:02,2:53:07,3:00:16,3:48:21,3:54:06,1
03-01-13,North Strand,Fire ALARM,Fire,Fire Alarm,3:28:28,3:29:17,3:31:41,3:34:10,3:41:46,3:57:26,1
26-08-13,Donnybrook,Fire DOMESTIC,Fire,Domestic Fire,14:59:39,15:01:05,15:02:18,15:06:22,15:24:32,15:50:28,1
03-01-13,Phibsborough,Fire ALARM,Fire,Fire Alarm,3:55:30,3:56:27,3:58:28,,,3:59:36,1
03-01-13,Swords,Fire ALARM,Fire,Fire Alarm,4:49:28,4:51:02,4:53:33,4:58:10,5:12:26,5:13:26,1
03-01-13,Kilbarrack,Fire ALARM,Fire,Fire Alarm,7:29:13,7:30:00,,,,7:32:43,1
03-01-13,Dun Laoghaire,Fire INDUST,Fire,Industrial,8:43:33,8:46:40,8:48:31,8:56:23,9:09:16,9:13:13,1
03-01-13,Dun Laoghaire,Fire INDUST,Fire,Industrial,9:09:28,9:13:10,9:14:00,9:18:08,9:35:59,9:47:36,1
03-01-13,Phibsborough,Fire ALARM,Fire,Fire Alarm,11:41:13,11:42:14,11:42:55,11:44:13,11:44:41,12:09:56,1
03-01-13,Rathfarnham,Fire DOMESTIC,Fire,Domestic Fire,12:13:23,12:14:00,12:15:04,12:18:46,12:25:38,13:04:58,1
03-01-13,Swords,S/S RTA,Special Service,Road Traffic Accident,12:31:19,12:32:06,12:32:16,12:36:37,13:13:02,15:37:48,1
03-01-13,Tara St,Fire DOMESTIC,Fire,Domestic Fire,14:26:42,14:28:16,14:29:25,14:33:33,15:04:32,15:50:08,1
03-01-13,Kilbarrack,Fire ALARM,Fire,Fire Alarm,14:28:13,14:29:13,14:30:17,,14:33:36,15:36:24,1
03-01-13,Tallaght,S/S ELEC,Special Service,Electrical,14:43:56,14:45:43,14:47:15,14:52:58,15:39:24,15:58:26,1
03-01-13,Blanchardstown,Fire DOM PER,Fire,Domestic Persons Reported,15:20:40,15:21:40,15:22:59,15:26:50,15:44:47,16:15:56,1
03-01-13,Finglas,Fire DOMESTIC,Fire,Domestic Fire,15:39:20,15:40:56,15:41:11,15:45:02,15:49:06,15:59:30,1
03-01-13,Dun Laoghaire,Fire ALARM,Fire,Fire Alarm,15:45:28,15:46:49,15:47:57,,15:48:40,15:48:43,1
03-01-13,Donnybrook,Fire ALARM,Fire,Fire Alarm,17:18:45,17:19:50,17:21:10,,,17:22:31,1
03-01-13,Tara St,S/S RTA,Special Service,Road Traffic Accident,17:24:36,17:26:17,17:26:56,17:37:43,17:37:58,17:59:48,1
03-01-13,Donnybrook,Fire ALARM,Fire,Fire Alarm,18:54:53,18:56:21,18:57:46,18:59:29,19:10:07,19:19:59,1
03-01-13,Finglas,Fire ALARM,Fire,Fire Alarm,19:00:00,19:01:32,19:02:48,19:12:03,19:23:43,19:41:20,1
03-01-13,Donnybrook,Fire ALARM,Fire,Fire Alarm,19:49:11,19:50:10,19:51:29,19:53:22,20:03:52,20:06:50,1
03-01-13,Rathfarnham,Fire INDUST,Fire,Industrial,20:05:55,20:06:49,20:07:52,20:14:37,20:34:53,21:20:25,1
03-01-13,Tallaght,Fire SMALL,Fire,Small Fire,21:55:01,21:56:20,21:57:39,,22:07:24,22:11:48,1
03-01-13,Dolphins Barn,S/S FLOOD,Special Service,Flooding,22:31:24,22:32:28,,22:37:34,23:12:11,23:17:31,1
03-01-13,Dolphins Barn,Fire CAR,Fire,Car Fire,22:36:39,22:37:48,22:39:32,22:43:54,22:50:32,22:55:18,1
03-01-13,Finglas,Fire SMALL,Fire,Small Fire,22:38:41,22:41:32,,,,22:44:44,1
03-01-13,Tara St,Fire SMALL,Fire,Small Fire,22:53:22,22:54:24,22:58:33,22:59:20,23:02:40,23:17:04,1
03-01-13,Finglas,Fire SMALL,Fire,Small Fire,22:56:37,22:57:52,22:59:25,,,23:16:01,1
03-01-13,Dolphins Barn,S/S FLOOD,Special Service,Flooding,23:04:40,23:06:47,23:08:17,,23:21:13,23:29:54,1
03-01-13,Dolphins Barn,Fire DOMESTIC,Fire,Domestic Fire,23:36:47,23:37:30,23:39:12,23:42:33,23:47:45,23:50:34,1
04-01-13,Kilbarrack,S/S AMBASS,Special Service,Ambulance Assist,0:08:56,0:10:46,0:12:07,0:16:55,0:27:03,0:29:25,1
04-01-13,Dun Laoghaire,S/S AMBASS,Special Service,Ambulance Assist,1:11:59,1:14:40,1:18:11,,1:30:50,1:38:01,1
04-01-13,Tallaght,Fire SMALL,Fire,Small Fire,2:04:41,2:05:22,2:07:56,2:16:48,2:18:35,2:23:25,1
04-01-13,Dun Laoghaire,Fire DOMESTIC,Fire,Domestic Fire,2:32:18,2:35:51,2:37:40,2:43:20,2:44:30,2:52:18,1
04-01-13,Phibsborough,Fire SMALL,Fire,Small Fire,5:20:03,5:21:07,5:28:34,5:29:45,5:35:47,5:40:37,1
